R,G,B,y
120,168,172,-1
136,180,183,-1
5,39,38,-1
228,172,149,1
221,178,161,1
24,66,62,-1
125,173,175,-1
91,74,126,-1
119,167,167,-1
128,77,46,1
144,101,58,1
194,135,101,1
88,142,144,-1
119,169,170,-1
137,181,182,-1
137,111,210,-1
120,159,156,-1
91,140,144,-1
251,231,110,-1
2,12,13,-1
211,46,62,-1
134,179,182,-1
7,37,39,-1
164,167,186,-1
126,176,177,-1
13,35,84,-1
254,165,1,-1
146,186,188,-1
241,188,174,1
188,117,55,1
71,88,54,-1
25,71,69,-1
96,135,134,-1
57,115,116,-1
135,176,178,-1
145,191,191,-1
122,172,173,-1
160,198,199,-1
224,175,135,1
21,30,35,-1
142,183,185,-1
130,178,180,-1
96,142,142,-1
153,96,43,1
129,177,179,-1
0,14,15,-1
114,163,167,-1
91,140,137,-1
206,138,101,1
80,106,43,-1
252,188,150,1
255,190,155,1
130,175,178,-1
98,148,147,-1
135,91,46,1
124,172,174,-1
98,146,148,-1
23,63,62,-1
119,175,176,-1
22,165,145,-1
129,177,179,-1
255,253,254,-1
128,174,172,-1
155,104,49,1
1,2,4,-1
121,171,172,-1
0,16,17,-1
59,92,37,-1
99,150,151,-1
254,214,204,1
38,77,74,-1
65,105,226,-1
131,175,176,-1
23,68,63,-1
129,177,179,-1
236,178,156,1
120,170,171,-1
123,171,173,-1
127,173,173,-1
151,101,94,1
110,160,159,-1
145,185,185,-1
149,99,48,1
92,133,129,-1
221,168,128,1
204,209,106,-1
116,164,164,-1
253,213,203,1
220,147,102,1
170,204,205,-1
125,85,77,1
131,176,179,-1
219,214,211,-1
125,170,173,-1
251,186,146,1
129,177,179,-1
29,49,47,-1
232,163,132,1
202,207,227,-1
101,135,134,-1
129,177,179,-1
121,171,172,-1
237,179,165,1
131,175,178,-1
14,29,26,-1
122,172,173,-1
254,190,152,1
225,160,118,1
44,104,104,-1
63,121,122,-1
23,59,57,-1
125,178,168,-1
232,254,47,-1
85,141,142,-1
253,189,151,1
140,167,212,-1
188,136,114,1
51,99,99,-1
27,67,75,-1
31,83,81,-1
66,113,107,-1
4,15,33,-1
25,71,69,-1
171,0,0,-1
17,35,35,-1
137,178,180,-1
28,62,61,-1
143,183,185,-1
0,128,255,-1
219,173,157,1
0,192,5,-1
152,193,195,-1
126,174,176,-1
92,146,148,-1
25,67,63,-1
224,152,102,1
207,23,51,-1
0,14,15,-1
25,55,53,-1
112,162,163,-1
236,183,169,1
17,31,96,-1
154,192,193,-1
157,195,196,-1
163,201,202,-1
86,133,127,-1
160,206,159,-1
127,162,168,-1
219,225,223,-1
170,116,114,1
150,19,1,-1
255,174,91,-1
124,172,174,-1
3,12,11,-1
163,201,202,-1
189,121,58,1
50,106,105,-1
147,187,189,-1
223,156,129,1
165,200,202,-1
129,175,175,-1
33,162,121,-1
8,47,46,-1
218,165,125,1
1,15,16,-1
226,180,165,1
237,183,173,1
225,156,123,1
242,74,99,-1
159,147,147,-1
94,133,130,-1
100,154,156,-1
85,139,139,-1
119,169,170,-1
172,118,116,1
72,117,112,-1
3,17,20,-1
120,81,76,1
219,151,116,1
248,255,255,-1
17,48,50,-1
163,197,199,-1
158,198,198,-1
18,52,51,-1
130,175,178,-1
33,45,43,-1
201,146,141,1
154,107,53,1
220,149,93,1
255,195,158,1
69,125,199,-1
61,119,120,-1
166,196,196,-1
131,175,178,-1
19,50,45,-1
215,147,108,1
220,147,96,1
160,195,197,-1
158,198,198,-1
118,117,125,-1
74,92,116,-1
226,180,164,1
57,97,97,-1
147,191,192,-1
226,162,126,1
170,206,206,-1
227,160,131,1
24,60,60,-1
159,98,51,1
226,170,133,1
106,138,117,-1
8,125,10,-1
219,154,116,1
3,0,0,-1
221,141,90,1
132,176,179,-1
6,14,17,-1
22,58,56,-1
138,180,179,-1
211,147,109,1
113,164,165,-1
125,80,75,1
149,100,95,1
3,14,16,-1
1,2,4,-1
115,163,163,-1
22,56,55,-1
255,215,205,1
0,194,0,-1
163,198,200,-1
40,81,83,-1
135,179,182,-1
160,198,199,-1
221,145,96,1
158,198,198,-1
211,149,112,1
192,134,96,1
229,186,170,1
146,186,188,-1
33,85,83,-1
17,53,51,-1
1,13,13,-1
128,174,174,-1
143,107,83,1
228,171,128,1
251,211,201,1
31,80,77,-1
132,177,180,-1
79,135,134,-1
113,164,167,-1
116,97,204,-1
89,141,139,-1
90,152,151,-1
220,159,140,1
161,108,104,1
33,87,89,-1
124,172,174,-1
97,149,147,-1
55,113,114,-1
22,57,53,-1
116,161,158,-1
82,140,141,-1
113,163,164,-1
22,57,53,-1
162,200,201,-1
233,119,109,-1
158,193,197,-1
21,63,62,-1
226,159,142,1
255,193,155,1
61,123,122,-1
62,120,121,-1
254,217,209,1
156,194,195,-1
128,158,158,-1
46,97,100,-1
22,73,76,-1
134,179,182,-1
158,198,198,-1
27,56,62,-1
60,118,119,-1
220,155,117,1
204,211,229,-1
101,137,135,-1
28,77,74,-1
181,120,53,1
73,123,122,-1
133,133,133,-1
182,187,84,-1
63,121,122,-1
34,57,29,-1
229,164,142,1
219,146,114,1
148,46,42,-1
65,123,124,-1
17,18,20,-1
242,28,62,-1
163,201,202,-1
112,158,156,-1
146,186,188,-1
134,178,181,-1
27,68,64,-1
22,104,141,-1
162,200,201,-1
21,55,54,-1
21,56,52,-1
1,191,7,-1
182,127,122,1
87,132,129,-1
223,165,141,1
96,146,145,-1
101,157,158,-1
88,138,137,-1
133,171,174,-1
26,70,69,-1
127,172,178,-1
158,198,198,-1
234,182,143,1
182,117,61,1
156,105,48,1
217,18,49,-1
224,142,95,1
203,134,65,1
151,197,195,-1
23,68,63,-1
114,129,158,-1
222,222,224,-1
29,79,78,-1
129,163,162,-1
23,33,94,-1
152,176,163,-1
158,196,199,-1
0,18,17,-1
221,145,96,1
105,159,161,-1
114,164,165,-1
99,34,40,-1
128,173,176,-1
225,159,133,1
141,57,142,-1
172,186,199,-1
157,197,197,-1
186,117,88,1
126,172,172,-1
160,198,199,-1
118,166,166,-1
96,146,147,-1
228,163,133,1
214,145,104,1
122,170,172,-1
233,180,166,1
255,193,151,1
190,115,83,1
209,198,202,-1
255,0,0,-1
125,170,173,-1
175,114,49,1
230,184,150,1
22,56,55,-1
40,90,91,-1
136,180,183,-1
170,192,190,-1
195,134,69,1
27,73,71,-1
203,45,59,-1
222,170,112,1
149,191,190,-1
31,85,87,-1
128,0,255,-1
216,148,109,1
123,164,168,-1
127,127,127,-1
97,136,133,-1
208,145,114,1
162,200,201,-1
135,179,180,-1
71,121,118,-1
160,195,197,-1
84,130,128,-1
227,163,136,1
114,162,164,-1
227,233,229,-1
122,172,173,-1
0,2,0,-1
123,173,174,-1
112,162,163,-1
162,197,199,-1
137,181,182,-1
34,74,73,-1
165,77,128,-1
162,197,199,-1
0,5,6,-1
191,123,52,1
80,134,136,-1
255,250,1,-1
93,142,139,-1
6,15,14,-1
19,58,55,-1
116,52,42,-1
166,106,54,1
116,187,147,-1
131,86,44,1
0,17,15,-1
122,172,173,-1
75,121,121,-1
125,62,45,1
231,171,147,1
188,7,16,-1
120,170,171,-1
119,158,131,-1
125,174,181,-1
8,4,3,-1
112,162,163,-1
90,139,136,-1
38,90,86,-1
132,175,182,-1
0,3,4,-1
131,180,184,-1
125,173,175,-1
133,181,181,-1
123,164,168,-1
0,18,20,-1
16,47,50,-1
26,74,74,-1
255,195,159,1
17,56,53,-1
65,115,112,-1
106,151,154,-1
40,42,41,-1
135,179,180,-1
132,177,182,-1
91,158,228,-1
150,190,192,-1
0,4,4,-1
137,89,77,1
250,250,248,-1
136,170,172,-1
90,139,136,-1
25,69,68,-1
51,72,75,-1
131,179,179,-1
100,141,173,-1
41,95,97,-1
245,194,165,1
247,240,232,-1
78,98,45,-1
158,198,198,-1
73,94,97,-1
159,199,199,-1
95,151,152,-1
101,151,148,-1
162,200,201,-1
80,121,123,-1
218,149,118,1
221,228,247,-1
35,83,83,-1
123,167,168,-1
138,180,179,-1
21,55,54,-1
132,178,178,-1
138,182,183,-1
214,219,251,-1
119,167,167,-1
119,168,172,-1
115,163,165,-1
106,156,153,-1
26,70,69,-1
121,171,172,-1
142,184,183,-1
181,117,53,1
26,70,69,-1
159,197,198,-1
170,200,200,-1
191,137,113,1
144,95,54,1
87,143,144,-1
138,182,185,-1
16,52,50,-1
1,10,9,-1
220,219,224,-1
85,121,243,-1
11,42,37,-1
132,177,180,-1
4,0,3,-1
171,117,115,1
230,175,155,1
4,14,16,-1
0,9,11,-1
24,56,53,-1
249,185,139,1
111,157,155,-1
125,79,167,-1
156,95,102,-1
108,154,152,-1
204,209,106,-1
161,196,198,-1
119,169,170,-1
24,70,68,-1
91,140,137,-1
154,194,196,-1
170,204,205,-1
139,92,50,1
125,157,154,-1
113,163,164,-1
129,178,175,-1
255,190,148,1
132,177,180,-1
63,111,111,-1
226,172,136,1
220,156,120,1
22,58,56,-1
2,17,20,-1
254,210,197,1
0,0,2,-1
0,10,10,-1
147,189,188,-1
238,186,173,1
35,76,80,-1
160,198,199,-1
0,0,2,-1
132,180,182,-1
127,175,177,-1
5,34,32,-1
241,189,175,1
233,184,169,1
7,39,38,-1
189,124,70,1
242,181,160,1
219,225,239,-1
128,176,178,-1
18,54,54,-1
135,6,132,-1
208,51,78,-1
241,177,133,1
253,248,242,-1
137,182,185,-1
121,171,172,-1
228,232,241,-1
227,164,123,1
83,105,40,-1
134,152,154,-1
89,139,138,-1
129,174,177,-1
120,162,158,-1
81,139,140,-1
130,171,175,-1
244,177,135,1
107,156,153,-1
253,188,148,1
23,57,56,-1
114,164,165,-1
187,8,14,-1
254,194,157,1
73,99,36,-1
224,159,121,1
87,141,143,-1
99,133,132,-1
192,128,93,1
0,1,3,-1
173,145,141,-1
18,36,14,-1
231,166,136,1
83,139,136,-1
121,169,173,-1
209,55,83,-1
222,151,109,1
85,141,142,-1
23,64,66,-1
123,171,173,-1
131,176,179,-1
17,28,22,-1
125,173,175,-1
255,185,176,-1
162,200,201,-1
91,120,116,-1
100,152,150,-1
123,169,169,-1
150,190,189,-1
186,7,13,-1
123,171,175,-1
255,127,255,-1
90,139,136,-1
125,169,168,-1
20,64,63,-1
168,108,48,1
120,168,172,-1
99,149,148,-1
0,7,10,-1
134,178,179,-1
124,159,153,-1
104,146,144,-1
250,250,248,-1
56,56,56,-1
64,124,124,-1
33,87,89,-1
62,120,121,-1
230,165,147,1
93,138,135,-1
115,157,156,-1
55,113,114,-1
193,118,79,1
68,68,68,-1
135,179,182,-1
236,180,167,1
64,113,110,-1
214,150,115,1
3,23,22,-1
129,174,177,-1
255,255,0,-1
227,180,164,1
121,169,171,-1
137,178,180,-1
222,170,133,1
29,71,69,-1
129,177,179,-1
93,117,67,-1
121,151,153,-1
230,166,154,1
150,192,191,-1
9,43,44,-1
122,127,123,-1
105,159,161,-1
122,170,172,-1
223,170,130,1
86,137,132,-1
16,52,50,-1
250,210,200,1
228,161,145,1
120,168,172,-1
190,114,80,1
128,72,143,-1
29,71,69,-1
11,50,49,-1
143,87,40,1
107,138,0,-1
5,31,30,-1
23,68,65,-1
145,186,188,-1
134,178,181,-1
244,179,141,1
16,52,50,-1
5,11,11,-1
137,90,44,1
233,187,171,1
133,109,81,1
21,55,54,-1
255,195,156,1
132,74,54,1
162,197,199,-1
10,19,18,-1
193,246,250,-1
64,120,119,-1
76,132,133,-1
0,128,0,-1
209,147,110,1
237,191,176,1
37,86,83,-1
255,0,255,-1
132,180,180,-1
54,104,103,-1
163,198,200,-1
210,142,103,1
171,143,119,1
4,6,5,-1
134,178,181,-1
10,36,35,-1
90,135,132,-1
236,174,163,1
159,197,198,-1
145,154,149,-1
253,255,254,-1
97,136,133,-1
236,193,176,1
158,105,55,1
248,69,91,-1
189,132,125,1
31,67,63,-1
155,193,194,-1
16,18,17,-1
1,5,6,-1
225,157,120,1
168,204,238,-1
25,71,69,-1
218,155,114,1
130,174,177,-1
146,186,188,-1
32,81,78,-1
153,191,192,-1
160,64,161,-1
154,99,45,1
23,68,65,-1
113,161,161,-1
105,159,161,-1
119,169,170,-1
132,177,180,-1
158,198,198,-1
116,148,147,-1
125,166,170,-1
247,185,164,1
222,188,223,-1
29,72,63,-1
131,175,178,-1
115,163,165,-1
24,73,70,-1
122,163,159,-1
101,151,152,-1
241,182,176,1
121,65,52,1
170,204,205,-1
129,177,179,-1
23,59,55,-1
12,11,16,-1
22,62,62,-1
84,140,141,-1
7,35,36,-1
184,112,53,1
222,168,130,1
178,124,122,1
47,103,104,-1
230,168,147,1
123,162,159,-1
126,165,160,-1
239,186,172,1
22,46,48,-1
223,157,125,1
235,186,172,1
153,60,151,-1
8,34,33,-1
137,178,180,-1
119,169,170,-1
180,0,0,-1
163,197,199,-1
127,171,172,-1
102,152,151,-1
154,192,193,-1
90,132,131,-1
135,179,182,-1
130,92,83,1
31,76,73,-1
115,163,163,-1
24,64,63,-1
143,96,78,1
122,168,168,-1
250,250,248,-1
129,177,179,-1
188,122,61,1
134,178,181,-1
255,0,255,-1
28,44,95,-1
102,147,150,-1
150,85,91,-1
1,15,16,-1
152,95,65,1
160,195,197,-1
162,200,201,-1
219,167,128,1
125,173,175,-1
121,169,171,-1
151,191,191,-1
59,79,106,-1
163,106,53,1
119,170,171,-1
227,154,119,1
230,164,148,1
105,154,151,-1
72,58,107,-1
131,94,78,1
87,119,116,-1
156,190,191,-1
193,125,54,1
240,187,173,1
140,185,182,-1
210,161,120,1
155,193,194,-1
18,54,52,-1
158,198,198,-1
2,17,20,-1
133,178,181,-1
125,85,77,1
211,164,122,1
5,14,11,-1
114,164,165,-1
0,14,14,-1
228,165,124,1
235,186,172,1
155,94,99,-1
41,95,95,-1
63,109,107,-1
158,198,198,-1
14,56,54,-1
117,168,169,-1
218,95,150,-1
151,162,146,-1
200,205,103,-1
134,93,87,1
121,166,169,-1
95,144,141,-1
140,184,185,-1
7,7,7,-1
195,117,79,1
92,138,136,-1
21,48,5,-1
163,198,200,-1
5,6,8,-1
125,173,175,-1
191,7,17,-1
174,112,53,1
132,178,178,-1
32,81,78,-1
221,98,153,-1
214,159,120,1
35,46,50,-1
121,156,150,-1
7,33,32,-1
137,178,182,-1
137,178,182,-1
105,154,151,-1
83,141,142,-1
169,203,204,-1
159,197,200,-1
228,173,134,1
180,169,167,-1
171,195,195,-1
111,157,155,-1
111,157,155,-1
138,182,181,-1
14,45,48,-1
156,194,195,-1
223,147,98,1
114,162,164,-1
161,106,67,1
149,100,60,1
121,163,159,-1
22,70,70,-1
155,193,194,-1
116,176,174,-1
239,135,230,-1
52,52,52,-1
131,175,178,-1
89,102,72,-1
220,17,47,-1
21,55,54,-1
22,58,56,-1
1,1,1,-1
78,138,128,-1
97,149,147,-1
210,152,115,1
160,195,197,-1
125,173,175,-1
226,233,241,-1
159,197,198,-1
93,142,139,-1
129,174,177,-1
137,182,185,-1
207,153,115,1
162,197,199,-1
127,172,175,-1
0,9,10,-1
167,201,203,-1
89,168,49,-1
140,91,86,1
124,165,167,-1
159,199,199,-1
101,116,233,-1
223,173,136,1
124,165,169,-1
221,220,225,-1
166,196,196,-1
134,134,134,-1
50,72,70,-1
116,116,118,-1
114,163,167,-1
37,80,73,-1
45,95,94,-1
255,254,250,-1
136,179,185,-1
23,68,65,-1
34,84,81,-1
217,156,125,1
255,130,134,-1
253,213,203,1
134,180,180,-1
131,91,83,1
21,55,54,-1
163,197,199,-1
134,180,180,-1
134,178,181,-1
133,178,181,-1
15,51,49,-1
201,42,62,-1
254,195,161,1
18,60,58,-1
122,170,172,-1
125,156,158,-1
7,35,36,-1
132,177,180,-1
255,255,255,-1
51,89,66,-1
249,255,5,-1
213,164,147,1
121,160,157,-1
127,175,177,-1
98,154,153,-1
170,204,205,-1
130,87,81,1
112,166,168,-1
202,207,104,-1
87,129,128,-1
223,171,132,1
150,144,132,-1
103,93,104,-1
100,154,156,-1
0,0,0,-1
